product_id,reference_name,type,price_cad,category,item_id
com.gamingactions.app.legendary_monthly,Legendary Monthly,Auto-Renewable Subscription,2.99,subscription,legendary_monthly
com.gamingactions.app.legendary_yearly,Legendary Yearly,Auto-Renewable Subscription,24.99,subscription,legendary_yearly
com.gamingactions.app.frame_neon_pulse_blue,Avatar Frame - Neon Pulse Blue,Non-Consumable,1.39,avatar_frame,neon_pulse_blue
com.gamingactions.app.frame_neon_pulse_pink,Avatar Frame - Neon Pulse Pink,Non-Consumable,1.39,avatar_frame,neon_pulse_pink
com.gamingactions.app.frame_fire_animated,Avatar Frame - Fire 🔥,Non-Consumable,1.39,avatar_frame,fire_animated
com.gamingactions.app.frame_ice_animated,Avatar Frame - Ice ❄️,Non-Consumable,1.39,avatar_frame,ice_animated
com.gamingactions.app.frame_galaxy_animated,Avatar Frame - Galaxy 🌌,Non-Consumable,1.99,avatar_frame,galaxy_animated
com.gamingactions.app.frame_rainbow_animated,Avatar Frame - Rainbow Spin 🌈,Non-Consumable,1.99,avatar_frame,rainbow_animated
com.gamingactions.app.frame_lightning_animated,Avatar Frame - Lightning ⚡,Non-Consumable,1.99,avatar_frame,lightning_animated
com.gamingactions.app.frame_void_animated,Avatar Frame - Void King 👁️,Non-Consumable,1.99,avatar_frame,void_animated
com.gamingactions.app.frame_cosmic_animated,Avatar Frame - Cosmic Power 💫,Non-Consumable,1.99,avatar_frame,cosmic_animated
com.gamingactions.app.frame_holographic_frame,Avatar Frame - Holographic ✨,Non-Consumable,1.99,avatar_frame,holographic_frame
com.gamingactions.app.frame_sakura_frame,Avatar Frame - Sakura 🌸,Non-Consumable,1.99,avatar_frame,sakura_frame
com.gamingactions.app.frame_toxic_pulse_frame,Avatar Frame - Toxic Pulse ☢️,Non-Consumable,1.99,avatar_frame,toxic_pulse_frame
com.gamingactions.app.frame_blizzard_animated,Avatar Frame - Blizzard ❄️⚡,Non-Consumable,1.99,avatar_frame,blizzard_animated
com.gamingactions.app.frame_dna_frame,Avatar Frame - DNA Helix 🧬,Non-Consumable,1.99,avatar_frame,dna_frame
com.gamingactions.app.frame_inferno_animated,Avatar Frame - Inferno 🔥,Non-Consumable,1.99,avatar_frame,inferno_animated
com.gamingactions.app.frame_blood_moon_frame,Avatar Frame - Blood Moon 🌕,Non-Consumable,1.99,avatar_frame,blood_moon_frame
com.gamingactions.app.frame_dragon_frame,Avatar Frame - Dragon 🐉,Non-Consumable,2.49,avatar_frame,dragon_frame
com.gamingactions.app.frame_neon_pulse_orange,Avatar Frame - Neon Orange ⚡,Non-Consumable,1.39,avatar_frame,neon_pulse_orange
com.gamingactions.app.frame_shimmer_silver,Avatar Frame - Shimmer Silver 🪞,Non-Consumable,1.99,avatar_frame,shimmer_silver
com.gamingactions.app.frame_shimmer_gold,Avatar Frame - Shimmer Gold ✨,Non-Consumable,1.99,avatar_frame,shimmer_gold
com.gamingactions.app.frame_shimmer_holo,Avatar Frame - Shimmer Holo 🌈,Non-Consumable,2.49,avatar_frame,shimmer_holo
com.gamingactions.app.frame_shimmer_aurora,Avatar Frame - Shimmer Aurora 🌌,Non-Consumable,1.99,avatar_frame,shimmer_aurora
com.gamingactions.app.frame_shimmer_prism,Avatar Frame - Shimmer Prism 🔮,Non-Consumable,2.49,avatar_frame,shimmer_prism
com.gamingactions.app.frame_shimmer_ice,Avatar Frame - Shimmer Ice ❄️,Non-Consumable,1.99,avatar_frame,shimmer_ice
com.gamingactions.app.frame_shimmer_void,Avatar Frame - Shimmer Void 🌑,Non-Consumable,1.99,avatar_frame,shimmer_void
com.gamingactions.app.frame_shimmer_fire,Avatar Frame - Shimmer Fire 🔥,Non-Consumable,1.99,avatar_frame,shimmer_fire
com.gamingactions.app.frame_shimmer_toxic,Avatar Frame - Shimmer Toxic ☢️,Non-Consumable,1.99,avatar_frame,shimmer_toxic
com.gamingactions.app.frame_shimmer_cosmic,Avatar Frame - Shimmer Cosmic 💫,Non-Consumable,2.49,avatar_frame,shimmer_cosmic
com.gamingactions.app.videoframe_vf_fire_animated,Video Frame - Fire Animated 🔥,Non-Consumable,1.39,video_frame,vf_fire_animated
com.gamingactions.app.videoframe_vf_lightning_animated,Video Frame - Lightning ⚡,Non-Consumable,1.99,video_frame,vf_lightning_animated
com.gamingactions.app.videoframe_vf_galaxy_animated,Video Frame - Galaxy Animated 🌌,Non-Consumable,1.99,video_frame,vf_galaxy_animated
com.gamingactions.app.videoframe_vf_rainbow_animated,Video Frame - Rainbow Spin 🌈,Non-Consumable,1.99,video_frame,vf_rainbow_animated
com.gamingactions.app.videoframe_vf_royal_animated,Video Frame - Royal Gold ✨,Non-Consumable,1.99,video_frame,vf_royal_animated
com.gamingactions.app.videoframe_vf_cosmic_animated,Video Frame - Cosmic Power 💫,Non-Consumable,1.99,video_frame,vf_cosmic_animated
com.gamingactions.app.videoframe_vf_holographic_anim,Video Frame - Holographic ✨,Non-Consumable,1.99,video_frame,vf_holographic_anim
com.gamingactions.app.videoframe_vf_sakura_anim,Video Frame - Sakura 🌸,Non-Consumable,1.99,video_frame,vf_sakura_anim
com.gamingactions.app.videoframe_vf_toxic_anim,Video Frame - Toxic Pulse ☢️,Non-Consumable,1.99,video_frame,vf_toxic_anim
com.gamingactions.app.videoframe_vf_shimmer_silver,Video Frame - Shimmer Silver 🪞,Non-Consumable,1.99,video_frame,vf_shimmer_silver
com.gamingactions.app.videoframe_vf_shimmer_gold,Video Frame - Shimmer Gold ✨,Non-Consumable,1.99,video_frame,vf_shimmer_gold
com.gamingactions.app.videoframe_vf_shimmer_holo,Video Frame - Shimmer Holo 🌈,Non-Consumable,2.49,video_frame,vf_shimmer_holo
com.gamingactions.app.videoframe_vf_shimmer_aurora,Video Frame - Shimmer Aurora 🌌,Non-Consumable,1.99,video_frame,vf_shimmer_aurora
com.gamingactions.app.videoframe_vf_shimmer_prism,Video Frame - Shimmer Prism 🔮,Non-Consumable,2.49,video_frame,vf_shimmer_prism
com.gamingactions.app.videoframe_vf_shimmer_ice,Video Frame - Shimmer Ice ❄️,Non-Consumable,1.99,video_frame,vf_shimmer_ice
com.gamingactions.app.videoframe_vf_shimmer_void,Video Frame - Shimmer Void 🌑,Non-Consumable,1.99,video_frame,vf_shimmer_void
com.gamingactions.app.videoframe_vf_shimmer_fire,Video Frame - Shimmer Fire 🔥,Non-Consumable,1.99,video_frame,vf_shimmer_fire
com.gamingactions.app.videoframe_vf_shimmer_toxic,Video Frame - Shimmer Toxic ☢️,Non-Consumable,1.99,video_frame,vf_shimmer_toxic
com.gamingactions.app.videoframe_vf_shimmer_rose,Video Frame - Shimmer Rose 🌸,Non-Consumable,1.99,video_frame,vf_shimmer_rose
com.gamingactions.app.commentframe_cf_pulse_blue,Comment Frame - Pulse Blue,Non-Consumable,0.99,comment_frame,cf_pulse_blue
com.gamingactions.app.commentframe_cf_fire_animated,Comment Frame - Fire Animated 🔥,Non-Consumable,0.99,comment_frame,cf_fire_animated
com.gamingactions.app.commentframe_cf_lightning,Comment Frame - Lightning ⚡,Non-Consumable,1.99,comment_frame,cf_lightning
com.gamingactions.app.commentframe_cf_rainbow_anim,Comment Frame - Rainbow Spin 🌈,Non-Consumable,1.99,comment_frame,cf_rainbow_anim
com.gamingactions.app.commentframe_cf_royal_anim,Comment Frame - Royal Gold ✨,Non-Consumable,1.99,comment_frame,cf_royal_anim
